alcohol,volatile acidity,sulphates,density,chlorides
9.4,0.7,0.56,0.9978,0.076
9.8,0.88,0.68,0.9968,0.098
9.8,0.76,0.65,0.997,0.092
9.8,0.28,0.58,0.998,0.075
9.4,0.7,0.56,0.9978,0.076
9.4,0.66,0.56,0.9978,0.075
9.4,0.6,0.46,0.9964,0.069
10.0,0.65,0.47,0.9946,0.065
9.5,0.58,0.57,0.9968,0.073
10.5,0.5,0.8,0.9978,0.071
9.2,0.58,0.54,0.9959,0.097
10.5,0.5,0.8,0.9978,0.071
9.9,0.615,0.52,0.9943,0.089
9.1,0.61,1.56,0.9974,0.114
9.2,0.62,0.88,0.9986,0.176
9.2,0.62,0.93,0.9986,0.17
10.5,0.28,0.75,0.9969,0.092
9.3,0.56,1.28,0.9968,0.368
9.0,0.59,0.5,0.9974,0.086
9.2,0.32,1.08,0.9969,0.341
9.4,0.22,0.53,0.9968,0.077
9.7,0.39,0.65,0.9982,0.082
9.5,0.43,0.91,0.9966,0.106
9.4,0.49,0.53,0.9968,0.084
9.7,0.4,0.63,0.9968,0.085
9.3,0.39,0.56,0.9955,0.08
9.5,0.41,0.59,0.9962,0.08
9.5,0.43,0.91,0.9966,0.106
9.4,0.71,0.55,0.9972,0.08
9.8,0.645,0.59,0.9964,0.082
10.1,0.675,0.54,0.9958,0.089
10.6,0.685,0.57,0.9966,0.105
9.8,0.655,0.66,0.9966,0.083
9.4,0.605,0.52,0.9993,0.073
9.2,0.32,0.55,0.9957,0.103
9.6,0.645,0.55,0.9986,0.086
10.8,0.6,0.6,0.9975,0.086
9.7,0.38,0.73,0.9968,0.066
9.8,1.13,0.48,0.994,0.172
10.5,0.45,0.83,0.9978,0.074
10.5,0.45,0.83,0.9978,0.074
9.3,0.61,0.51,0.9976,0.088
10.5,0.49,0.9,0.9968,0.332
10.3,0.66,1.2,0.9968,0.069
9.5,0.67,0.52,0.9962,0.05
13.1,0.52,0.56,0.9934,0.054
9.2,0.935,0.73,0.997,0.114
9.5,0.29,0.58,0.9969,0.113
9.2,0.4,0.56,0.9958,0.066
9.2,0.31,0.58,0.9954,0.074
9.2,0.66,0.74,0.9971,0.074
9.4,0.52,0.63,0.9956,0.069
9.4,0.5,0.64,0.9955,0.068
9.4,0.38,0.56,0.997,0.081
10.2,0.51,0.63,0.9955,0.11
9.5,0.62,0.53,0.9978,0.084
9.6,0.42,0.63,0.9971,0.07
9.4,0.63,0.77,0.9983,0.111
10.0,0.59,0.59,0.9975,0.076
9.4,0.39,0.54,0.9962,0.074
9.2,0.4,0.64,0.998,0.079
9.3,0.69,0.71,0.9968,0.115
9.5,0.52,0.62,0.9968,0.085
9.8,0.735,0.57,0.9966,0.081
10.9,0.725,0.39,0.9962,0.086
10.9,0.725,0.39,0.9962,0.086
9.6,0.52,0.58,0.9968,0.079
10.7,0.705,0.58,0.9962,0.076
10.7,0.32,0.79,0.9969,0.074
10.5,0.705,0.95,0.9962,0.074
9.5,0.63,0.54,0.9967,0.076
9.5,0.67,0.48,0.9962,0.088
9.5,0.69,0.48,0.9961,0.084
9.2,0.675,0.53,0.9976,0.084
9.6,0.32,0.82,0.9984,0.094
10.5,0.41,0.66,0.9986,0.093
10.5,0.41,0.66,0.9986,0.093
10.7,0.785,0.55,0.9966,0.104
10.1,0.75,0.52,0.9958,0.086
9.1,0.625,1.12,0.9972,0.08
9.2,0.45,0.56,0.9958,0.069
9.4,0.43,1.28,0.9974,0.464
9.1,0.5,0.57,0.997,0.086
9.4,0.67,1.14,0.9969,0.401
10.3,0.3,0.78,0.9959,0.069
10.1,0.55,0.59,0.9961,0.076
9.9,0.49,1.95,0.9972,0.11
9.6,0.49,0.64,0.9966,0.062
9.5,0.39,1.22,0.9978,0.107
9.0,0.62,0.53,0.9978,0.076
9.5,0.52,0.54,0.9964,0.079
9.9,0.49,1.95,0.9972,0.11
9.8,0.49,1.98,0.9972,0.11
9.6,0.49,0.64,0.9966,0.062
10.5,1.02,0.48,0.9938,0.045
12.9,0.6,0.6,0.9932,0.058
10.7,0.775,0.56,0.9965,0.102
9.2,0.5,0.63,0.9963,0.07
9.8,0.9,0.56,0.9967,0.079
9.0,0.545,0.59,0.9972,0.08
10.2,0.61,0.61,0.9972,0.084
10.4,0.5,0.56,0.9959,0.075
9.0,0.545,0.59,0.9972,0.08
9.2,0.575,0.51,0.9967,0.077
9.4,0.49,0.48,0.996,0.07
9.2,0.575,0.51,0.9967,0.077
9.3,0.41,1.31,0.9973,0.467
9.3,0.63,0.79,0.9969,0.088
9.6,0.33,0.8,0.9976,0.091
9.3,0.785,0.69,0.9969,0.122
9.5,0.56,0.93,0.9964,0.104
9.8,0.62,0.66,0.9964,0.084
9.8,0.6,0.66,0.9964,0.085
9.7,0.31,0.67,0.9988,0.08
9.5,0.56,0.93,0.9964,0.104
10.5,0.4,0.63,0.9966,0.09
10.0,0.54,0.61,0.9978,0.077
9.4,0.56,0.5,0.997,0.082
10.9,0.55,0.6,0.9962,0.119
9.2,0.69,0.54,0.9959,0.097
9.0,1.07,0.57,0.9962,0.178
10.9,0.55,0.6,0.9962,0.119
9.2,0.695,0.52,0.998,0.075
9.5,0.71,0.53,0.9976,0.08
9.5,0.5,0.48,0.996,0.082
9.4,0.62,0.7,0.9984,0.146
10.9,1.33,0.49,0.9964,0.081
10.9,1.33,0.48,0.9964,0.082
10.5,0.59,0.92,0.9962,0.065
9.4,0.38,0.57,0.9955,0.072
9.4,0.745,0.66,0.9968,0.118
13.0,0.5,0.63,0.9937,0.049
13.0,0.5,0.63,0.9937,0.049
9.8,0.5,0.58,0.9952,0.06
9.9,1.04,0.55,0.9959,0.084
9.6,0.745,0.82,0.9965,0.09
9.5,0.715,0.77,0.9968,0.089
9.2,0.415,0.64,0.9972,0.081
9.5,0.56,0.54,0.9962,0.081
9.5,0.56,0.54,0.9962,0.081
9.6,0.745,0.82,0.9965,0.09
9.5,0.715,0.77,0.9968,0.089
14.0,0.34,0.79,0.9916,0.05
9.4,0.39,0.58,0.9954,0.066
14.0,0.34,0.79,0.9916,0.05
9.4,0.67,0.62,0.9968,0.117
10.0,0.68,0.52,0.9944,0.087
9.3,0.49,0.8,0.9968,0.236
10.2,0.49,0.58,0.9959,0.074
10.5,0.4,0.61,0.9975,0.089
10.3,0.33,0.53,0.9958,0.077
9.4,0.52,2.0,0.9996,0.61
10.1,0.6,0.54,0.995,0.095
10.1,0.6,0.54,0.995,0.095
10.5,0.43,0.72,0.9973,0.07
10.5,0.43,0.71,0.9973,0.071
10.5,0.43,0.72,0.9973,0.07
10.5,0.43,0.71,0.9973,0.071
9.3,0.68,0.5,0.9969,0.073
9.3,0.6,0.57,0.9968,0.079
9.6,0.95,0.56,0.9959,0.09
9.2,0.68,1.08,0.9965,0.072
10.0,0.53,0.56,0.9964,0.076
9.4,0.6,0.49,0.9982,0.07
9.4,0.59,0.49,0.9981,0.07
9.5,0.63,0.62,0.9961,0.1
10.2,0.64,0.52,0.9956,0.085
9.0,0.55,0.48,0.9956,0.072
10.4,0.63,0.55,0.9953,0.089
9.5,0.705,1.59,0.9964,0.36
9.1,0.885,0.33,0.9972,0.058
9.2,0.42,0.61,0.9972,0.073
9.2,0.42,0.61,0.9972,0.073
11.5,0.62,0.57,0.9961,0.068
9.5,0.38,0.47,0.9961,0.08
9.5,0.5,0.78,0.9958,0.085
9.5,0.38,0.47,0.9961,0.08
10.5,0.52,0.61,0.9972,0.087
9.6,0.805,0.56,0.9969,0.068
9.5,0.61,0.59,0.9969,0.067
9.5,0.61,0.59,0.9969,0.067
9.3,0.61,1.02,0.9972,0.27
9.3,0.73,0.52,0.9972,0.076
9.3,0.61,0.58,0.9971,0.077
9.3,0.62,0.58,0.997,0.079
9.7,0.31,0.53,0.9971,0.111
9.2,0.39,0.55,0.9972,0.082
9.7,0.705,0.49,0.9976,0.084
9.5,0.5,0.55,0.9968,0.084
9.5,0.49,0.55,0.9968,0.082
9.4,0.5,0.62,0.9976,0.077
9.8,0.37,0.62,0.9974,0.074
9.5,0.63,0.61,0.9969,0.099
9.7,0.55,0.55,0.9964,0.071
9.7,0.55,0.55,0.9964,0.071
9.4,0.59,0.54,0.9968,0.074
10.2,0.58,0.59,0.9968,0.074
10.1,0.3,0.97,0.9981,0.067
13.0,0.835,0.85,0.9924,0.046
11.4,1.09,0.43,0.9948,0.061
10.3,0.32,0.82,0.99695,0.056
9.3,0.37,1.03,0.9975,0.097
9.5,0.5,0.79,0.99545,0.075
9.2,0.42,0.55,0.9961,0.088
9.2,0.43,0.56,0.99615,0.089
10.8,0.3,0.77,0.9994,0.095
10.8,0.3,0.77,0.9994,0.095
9.3,0.57,0.53,0.99625,0.069
9.4,0.44,0.67,0.9966,0.1
10.5,0.3,0.88,0.998,0.054
12.4,0.53,0.86,0.99585,0.039
10.0,0.725,0.56,0.99685,0.083
10.2,0.44,0.67,0.998,0.059
10.1,0.57,0.43,0.9959,0.06
9.8,0.735,0.71,0.9974,0.092
10.5,0.49,0.76,0.9974,0.06
11.0,0.625,0.57,0.9962,0.101
9.1,0.725,0.55,0.9967,0.072
9.7,0.49,0.54,0.9957,0.076
9.5,0.53,0.6,0.99655,0.08
9.4,0.34,0.59,0.9964,0.082
9.4,0.53,0.57,0.9957,0.101
9.5,0.61,0.6,0.99525,0.057
10.0,0.645,0.6,0.99815,0.083
10.4,0.635,0.57,0.99745,0.089
10.5,0.43,0.58,0.99615,0.073
9.5,0.59,1.61,0.9964,0.337
9.8,0.82,0.63,0.9984,0.089
10.5,0.43,0.58,0.99615,0.073
11.0,0.52,0.5,0.99685,0.081
12.2,0.48,0.62,0.9927,0.054
9.9,0.38,0.52,0.99625,0.078
9.6,0.37,0.7,0.998,0.09
11.0,0.52,0.5,0.99685,0.081
9.0,1.0,0.55,0.99685,0.065
9.0,0.63,0.58,0.99675,0.097
9.0,0.63,0.58,0.99675,0.097
9.2,0.645,0.58,0.99675,0.097
9.0,0.63,0.58,0.99675,0.097
9.0,1.0,0.55,0.99685,0.065
9.3,0.635,1.09,0.9971,0.263
10.9,0.38,0.71,0.99925,0.093
9.8,0.58,0.49,0.99565,0.102
9.2,0.21,0.84,1.00005,0.075
9.2,0.21,0.84,1.00005,0.075
9.9,0.66,0.96,0.9983,0.084
9.5,0.68,0.52,0.99685,0.075
9.3,0.6,0.45,0.9963,0.072
9.8,0.53,0.48,0.99615,0.074
9.9,0.66,0.96,0.9983,0.084
10.0,0.32,0.78,0.9985,0.063
9.9,0.6,0.7,0.9972,0.074
10.5,0.35,0.53,0.9986,0.09
9.5,0.775,0.59,0.9959,0.092
9.9,0.6,0.7,0.9972,0.074
9.3,0.57,0.57,0.99675,0.073
9.2,0.34,0.62,0.998,0.075
9.2,0.695,0.67,0.9968,0.075
9.4,0.41,1.26,0.9968,0.611
10.5,0.31,0.8,0.99965,0.085
9.3,0.33,0.65,0.99625,0.077
9.4,0.975,0.6,0.99565,0.087
10.0,0.52,0.57,0.99575,0.07
9.3,0.37,0.67,0.9963,0.077
10.9,0.56,0.87,0.9999,0.064
10.2,0.26,0.72,0.9968,0.071
9.8,0.87,0.72,1.00025,0.096
12.8,0.35,0.86,0.9973,0.078
9.4,0.54,0.91,0.9987,0.077
10.1,0.18,0.97,0.9996,0.104
10.7,0.545,0.67,0.9965,0.087
10.1,0.18,0.97,0.9996,0.104
10.1,0.37,0.78,0.99935,0.071
9.4,0.715,0.64,0.99735,0.076
9.4,0.65,0.77,0.99915,0.088
10.7,0.545,0.67,0.9965,0.087
9.4,0.54,0.91,0.9987,0.077
10.1,0.18,0.97,0.9996,0.104
12.6,0.32,0.82,0.9976,0.073
10.5,0.4,0.77,0.9991,0.087
9.3,0.26,0.82,0.9986,0.071
9.9,0.27,1.08,0.9972,0.358
9.1,0.52,0.57,0.9971,0.067
10.5,0.4,0.77,0.9991,0.087
9.8,0.59,0.71,1.00015,0.102
9.8,0.59,0.71,1.00015,0.102
10.3,0.45,0.76,0.9997,0.073
10.3,0.4,0.7,0.9967,0.092
10.6,0.52,0.86,0.9976,0.091
9.2,0.42,0.95,1.001,0.105
10.6,0.52,0.86,0.9976,0.091
10.5,0.2,0.71,0.9979,0.343
10.3,0.55,0.64,0.9994,0.091
10.1,0.36,0.6,0.9964,0.098
9.5,0.34,0.81,1.0014,0.094
9.5,0.5,0.64,1.0001,0.073
9.9,0.83,0.52,0.9981,0.086
9.6,0.63,0.73,0.99855,0.083
9.7,0.65,0.8,0.9993,0.094
9.6,0.67,0.71,0.99845,0.08
10.7,0.53,0.59,0.9965,0.086
10.1,0.18,0.64,0.9973,0.068
10.0,0.705,0.72,0.9994,0.092
9.5,0.67,0.54,0.996,0.186
9.2,0.65,0.52,0.9973,0.112
9.3,0.53,0.59,0.9998,0.063
9.4,0.62,0.52,0.9966,0.082
9.5,0.41,0.62,0.9994,0.213
9.5,0.43,0.63,0.9994,0.214
9.5,0.29,0.53,0.9968,0.062
9.3,0.53,0.59,0.9998,0.063
9.4,0.53,0.54,0.996,0.072
9.5,0.46,0.63,0.99815,0.093
9.4,0.47,0.53,0.9976,0.076
11.0,0.36,0.68,0.99645,0.087
11.0,0.35,0.65,0.9962,0.096
10.1,0.56,0.65,0.9996,0.102
10.4,0.77,0.64,0.99865,0.082
11.5,0.66,0.71,0.9989,0.083
10.4,0.77,0.64,0.99865,0.082
11.5,0.66,0.71,0.9989,0.083
9.7,0.61,0.62,0.99975,0.09
9.3,0.62,0.63,0.99735,0.079
9.5,0.59,0.7,0.999,0.09
9.2,0.49,0.69,1.0015,0.071
9.2,0.49,0.69,1.0015,0.071
11.5,0.53,0.74,0.9978,0.121
11.5,0.44,0.83,0.998,0.107
9.7,0.27,0.67,1.0002,0.082
9.5,0.46,0.62,0.9981,0.061
12.5,0.36,0.66,0.998,0.122
12.5,0.36,0.66,0.998,0.122
9.4,0.58,0.54,0.9973,0.066
11.0,0.56,0.52,0.9958,0.105
11.7,0.65,0.74,0.9963,0.078
12.2,0.695,0.84,0.9992,0.128
12.5,0.43,0.7,0.9948,0.052
10.3,0.43,0.64,0.9974,0.08
11.5,0.49,1.0,1.0008,0.103
9.8,0.28,1.36,0.9997,0.082
9.2,0.34,1.18,1.0,0.066
11.3,0.42,0.87,0.9972,0.065
9.8,0.39,0.75,0.9982,0.118
9.8,0.39,0.75,0.9982,0.118
10.7,0.57,0.78,1.0006,0.082
9.9,0.685,0.81,0.9979,0.067
12.3,0.815,0.89,0.9955,0.072
12.0,0.49,0.93,0.9986,0.093
10.0,0.56,0.92,0.9979,0.089
9.4,0.785,0.86,0.9994,0.093
9.9,0.67,0.98,1.0004,0.107
9.4,0.795,0.83,0.9994,0.096
9.3,0.665,0.73,0.9974,0.09
13.0,0.53,0.77,1.0018,0.12
11.9,0.21,0.59,0.9912,0.066
12.8,0.75,0.61,0.9955,0.078
11.0,0.41,0.88,1.0001,0.08
11.7,0.42,0.75,0.997,0.116
10.4,0.43,0.85,1.0,0.109
9.8,0.38,0.68,1.001,0.088
9.4,0.7,0.7,0.9973,0.099
9.9,0.45,0.91,0.9982,0.086
10.0,0.58,0.56,0.9992,0.072
10.2,0.46,0.87,0.9988,0.071
10.0,0.615,0.73,1.0022,0.083
11.8,0.42,0.93,0.9979,0.107
10.0,0.615,0.73,1.0022,0.083
9.0,0.575,0.69,1.0,0.076
9.4,0.34,0.64,0.9998,0.159
12.0,0.27,1.13,0.9962,0.074
9.9,0.765,0.78,0.9975,0.063
8.7,0.24,0.87,0.9967,0.056
10.6,0.28,1.04,0.9967,0.067
9.2,0.55,0.63,0.9959,0.106
10.8,0.41,0.81,1.0014,0.089
11.8,0.54,0.83,0.9984,0.124
11.0,0.45,1.11,1.0003,0.078
12.0,0.27,1.13,0.9962,0.074
13.3,0.625,0.99,0.9988,0.088
10.8,0.42,0.7,0.9979,0.094
9.4,0.26,0.8,0.9974,0.08
10.0,0.415,0.8,1.0014,0.085
9.4,0.26,0.8,0.9974,0.08
9.4,0.26,0.8,0.9974,0.08
9.2,0.51,0.74,0.998,0.087
9.7,0.63,0.76,0.9979,0.09
9.2,0.54,0.74,0.9981,0.088
9.6,0.66,0.54,0.9972,0.079
9.2,0.46,0.74,0.9981,0.088
10.0,0.38,0.7,0.9982,0.096
12.9,0.85,0.82,0.9924,0.045
10.0,0.415,0.8,1.0014,0.085
9.5,0.37,0.51,0.998,0.082
9.1,0.665,0.54,0.997,0.112
9.9,0.6,0.57,0.9997,0.063
13.0,0.37,0.6,1.0004,0.066
9.9,0.735,0.53,0.9994,0.122
11.0,0.59,0.65,0.9988,0.087
11.0,0.59,0.65,0.9988,0.087
9.4,0.765,0.55,0.9963,0.064
9.9,0.735,0.53,0.9994,0.122
10.8,0.26,0.47,0.9949,0.059
10.5,0.48,0.61,1.0,0.085
10.5,0.6,0.63,0.9994,0.085
9.1,0.69,0.61,0.9974,0.075
10.1,0.31,0.76,0.9966,0.059
10.8,0.44,0.65,0.9981,0.063
10.8,0.39,0.63,0.9996,0.093
11.3,0.34,0.7,0.997,0.174
9.6,0.46,0.57,0.9981,0.07
9.5,0.43,0.62,0.9987,0.08
9.5,0.45,0.62,0.9987,0.08
9.3,0.735,0.64,0.9966,0.1
11.7,0.4,0.82,0.9986,0.097
9.5,0.52,0.61,0.9982,0.087
9.3,0.725,1.07,1.0014,0.117
11.7,0.48,0.66,0.997,0.111
10.5,0.58,0.48,0.9956,0.091
10.4,0.38,0.76,0.9996,0.121
9.9,0.77,0.68,0.9976,0.066
11.8,0.56,0.73,0.9972,0.089
12.3,0.84,0.56,0.9952,0.059
10.9,0.96,0.44,0.9955,0.047
11.0,0.24,0.9,0.9978,0.066
10.9,0.96,0.44,0.9955,0.047
12.3,0.84,0.56,0.9952,0.059
11.4,0.67,0.49,0.9949,0.045
10.6,0.78,0.56,0.9988,0.077
9.3,0.52,0.6,0.9978,0.07
10.4,0.84,0.6,0.9997,0.088
11.0,0.24,0.9,0.9978,0.066
9.2,0.55,0.56,0.9974,0.074
12.8,0.37,0.65,0.9958,0.078
9.5,0.39,0.49,1.0004,0.091
9.9,0.41,0.89,0.9996,0.076
9.5,0.39,0.49,1.0004,0.091
10.2,0.67,0.56,0.9958,0.06
11.2,0.45,0.66,0.9986,0.066
9.9,0.41,0.89,0.9996,0.076
9.3,0.62,0.6,0.9951,0.062
9.8,0.31,0.82,0.9987,0.072
11.3,0.4,0.68,0.9988,0.068
11.2,0.685,0.68,1.0032,0.1
11.6,0.44,0.63,0.9963,0.077
12.5,0.57,0.84,0.9934,0.054
10.1,0.735,0.56,0.9986,0.079
10.5,0.38,0.73,0.9996,0.081
11.2,0.48,0.72,0.9968,0.127
10.2,0.53,0.56,0.9967,0.1
10.8,0.39,0.61,0.9994,0.095
10.8,0.39,0.61,0.9994,0.095
9.1,0.37,1.06,0.9979,0.413
10.0,0.56,0.63,0.9968,0.084
11.2,0.33,0.74,0.9998,0.084
11.1,0.23,0.63,0.9952,0.063
13.4,0.62,0.69,0.9988,0.086
10.3,0.59,0.58,0.9986,0.095
9.6,0.63,0.58,0.9988,0.097
11.2,0.33,0.74,0.9998,0.084
9.0,0.58,0.57,1.0008,0.074
11.3,0.43,0.61,0.9976,0.083
9.3,0.615,0.61,0.9982,0.087
11.8,0.26,0.61,0.997,0.085
9.0,0.66,0.53,0.9972,0.098
9.2,0.315,0.7,0.9987,0.084
9.7,0.29,0.91,1.0006,0.098
11.5,0.5,0.72,0.9982,0.069
14.0,0.46,0.79,0.9947,0.065
9.2,0.36,0.62,1.0,0.09
9.8,0.82,0.58,0.9952,0.07
10.6,0.32,0.61,0.9996,0.093
11.4,0.54,0.71,0.997,0.081
10.4,0.37,0.82,0.9995,0.083
10.6,0.35,0.79,0.9971,0.062
9.4,0.28,0.89,0.9982,0.08
10.2,0.68,0.6,0.9988,0.087
9.7,0.27,0.7,0.998,0.091
11.0,0.24,1.06,0.9977,0.075
10.2,0.68,0.6,0.9988,0.087
10.1,0.685,0.7,0.9984,0.077
9.2,0.28,0.66,1.0026,0.069
11.7,0.3,0.92,0.9964,0.08
9.4,0.36,1.05,0.9986,0.152
9.4,0.36,1.06,0.9986,0.152
13.4,0.44,0.66,0.997,0.114
10.0,0.67,0.47,0.9976,0.054
10.0,0.67,0.47,0.9976,0.054
10.0,0.645,0.42,0.9982,0.053
10.8,0.32,0.92,1.0002,0.081
10.2,0.39,0.75,0.9984,0.073
10.6,0.775,0.67,0.9984,0.078
13.3,0.41,0.79,0.9952,0.055
13.4,0.4,0.9,0.995,0.052
11.6,0.69,0.74,1.0002,0.086
12.1,0.39,0.55,0.9952,0.051
11.0,0.35,0.65,0.9972,0.07
9.0,0.52,0.65,0.9984,0.081
11.1,0.34,0.79,0.9966,0.09
11.0,0.35,0.65,0.9972,0.07
11.6,0.69,0.74,1.0002,0.086
9.0,0.52,0.65,0.9984,0.081
12.0,0.44,0.85,0.999,0.074
12.0,0.44,0.85,0.999,0.074
10.9,0.26,1.04,0.9976,0.078
10.8,0.24,1.05,0.9976,0.077
12.5,0.49,0.78,0.9968,0.072
10.8,0.24,1.02,0.9976,0.075
9.5,0.67,0.71,1.0,0.084
10.2,0.59,0.63,0.9994,0.09
11.4,0.29,0.68,0.9986,0.084
9.5,0.42,0.61,0.9978,0.073
10.2,0.59,0.63,0.9994,0.09
9.7,0.4,0.81,0.998,0.125
11.8,0.51,0.66,0.9973,0.107
11.8,0.51,0.66,0.9973,0.107
9.3,0.655,1.14,1.001,0.122
11.9,0.6,0.74,1.001,0.1
8.4,0.61,0.63,0.9994,0.2
11.7,0.21,0.68,0.9972,0.088
11.0,0.365,0.78,0.9966,0.088
10.0,0.25,0.9,0.9982,0.088
9.1,0.41,0.64,0.998,0.088
9.8,0.39,0.99,0.9979,0.099
9.4,0.4,0.55,0.9978,0.085
9.5,0.43,0.64,0.9976,0.086
9.9,0.64,0.67,0.9998,0.105
11.0,0.365,0.78,0.9966,0.088
11.4,0.38,0.77,0.9962,0.097
8.7,0.42,0.75,0.9988,0.084
9.4,0.63,0.57,0.9974,0.077
10.3,0.22,0.87,0.999,0.078
10.3,0.38,0.61,1.0004,0.098
10.3,0.38,0.61,1.0004,0.098
12.8,0.27,0.66,0.9956,0.072
10.0,0.48,0.56,1.0,0.102
10.3,0.22,0.87,0.999,0.078
9.4,0.63,0.57,0.9974,0.077
10.7,0.825,0.77,0.9972,0.084
12.0,0.35,0.66,1.0014,0.066
11.2,0.5,0.62,0.9996,0.1
9.6,0.59,0.67,0.9988,0.101
11.0,0.46,0.73,0.9988,0.064
9.9,0.715,0.59,0.9966,0.07
